subgroup,modeldate,startdate,enddate,pollster,samplesize,approve,disapprove
All polls,01/01/2020,02/06/2017,02/10/2017,Ipsos,1765,46.7,47.6
All polls,01/01/2020,02/07/2017,02/09/2017,Gallup,1500,42,52
All polls,01/01/2020,02/07/2017,02/08/2017,Public Policy Polling,712,43,53
All polls,01/01/2020,02/06/2017,02/12/2017,SurveyMonkey,9349,46,53
All polls,01/01/2020,02/08/2017,02/10/2017,Gallup,1500,41,53
All polls,01/01/2020,02/07/2017,02/11/2017,Ipsos,1770,46.7,47.5
All polls,01/01/2020,02/07/2017,02/12/2017,Pew Research Center,1503,39,56
All polls,01/01/2020,02/08/2017,02/12/2017,Ipsos,1774,46.3,48.4
All polls,01/01/2020,02/09/2017,02/11/2017,Gallup,1500,40,55
All polls,01/01/2020,02/08/2017,02/12/2017,Rasmussen Reports/Pulse Opinion Research,1500,52,48
All polls,01/01/2020,02/09/2017,02/10/2017,Morning Consult,1791,49,45
All polls,01/01/2020,02/10/2017,02/12/2017,Gallup,1500,40,54
All polls,01/01/2020,02/09/2017,2/13/2017,Ipsos,1813,46.3,48.5
All polls,01/01/2020,02/09/2017,2/13/2017,Rasmussen Reports/Pulse Opinion Research,1500,52,48
All polls,01/01/2020,02/11/2017,2/13/2017,Fox News,1013,48,47
All polls,01/01/2020,02/11/2017,2/13/2017,Harris Poll,2148,48,52
All polls,01/01/2020,02/10/2017,2/14/2017,Ipsos,1777,45.3,50.6
All polls,01/01/2020,02/11/2017,2/13/2017,Gallup,1500,40,54
All polls,01/01/2020,02/12/2017,2/14/2017,YouGov,1500,43,47
All polls,01/01/2020,02/11/2017,2/15/2017,Ipsos,1766,45.8,50.4
All polls,01/01/2020,02/12/2017,2/14/2017,Gallup,1500,40,53
All polls,01/01/2020,02/12/2017,2/14/2017,Rasmussen Reports/Pulse Opinion Research,1500,53,47
All polls,01/01/2020,02/12/2017,2/16/2017,Ipsos,1718,45.9,50.2
All polls,01/01/2020,2/13/2017,2/15/2017,Gallup,1500,40,54
All polls,01/01/2020,2/13/2017,2/15/2017,Rasmussen Reports/Pulse Opinion Research,1500,55,45
All polls,01/01/2020,2/14/2017,2/16/2017,Gallup,1500,38,56
All polls,01/01/2020,2/13/2017,2/17/2017,Ipsos,2512,45.1,51.1
All polls,01/01/2020,2/13/2017,2/17/2017,SurveyMonkey,9163,45,53
All polls,01/01/2020,2/14/2017,2/16/2017,Rasmussen Reports/Pulse Opinion Research,1500,55,45
All polls,01/01/2020,2/13/2017,2/19/2017,SurveyMonkey,11512,43,54
All polls,01/01/2020,2/13/2017,2/19/2017,Kaiser Family Foundation,1160,41,52
All polls,01/01/2020,2/15/2017,2/17/2017,Gallup,1500,40,55
All polls,01/01/2020,2/14/2017,2/18/2017,Ipsos,2334,44.3,52.1
All polls,01/01/2020,2/15/2017,2/19/2017,Marist College,1073,39,50
All polls,01/01/2020,2/16/2017,2/18/2017,Gallup,1500,41,55
All polls,01/01/2020,2/15/2017,2/19/2017,Ipsos,2291,45.3,50.5
All polls,01/01/2020,2/15/2017,2/19/2017,Rasmussen Reports/Pulse Opinion Research,1500,51,49
All polls,01/01/2020,2/16/2017,2/19/2017,Morning Consult,2013,49,44
All polls,01/01/2020,2/15/2017,2/20/2017,McLaughlin & Associates,1000,51,44
All polls,01/01/2020,2/16/2017,2/20/2017,Ipsos,2261,45.5,49.9
All polls,01/01/2020,2/16/2017,2/20/2017,Rasmussen Reports/Pulse Opinion Research,1500,50,50
All polls,01/01/2020,2/17/2017,2/18/2017,YouGov,1000,41,47
All polls,01/01/2020,2/17/2017,2/19/2017,Gallup,1500,42,53
All polls,01/01/2020,2/18/2017,2/20/2017,Gallup,1500,41,53
All polls,01/01/2020,2/17/2017,2/21/2017,CBS News,1280,39,51
All polls,01/01/2020,2/17/2017,2/20/2017,American Research Group,1100,43,51
All polls,01/01/2020,2/16/2017,2/21/2017,Quinnipiac University,1323,38,55
All polls,01/01/2020,2/17/2017,2/21/2017,Ipsos,2341,45.1,50
All polls,01/01/2020,2/18/2017,2/22/2017,NBC News/Wall Street Journal,1000,44,48
All polls,01/01/2020,2/19/2017,2/21/2017,Gallup,1500,42,52
All polls,01/01/2020,2/19/2017,2/21/2017,Rasmussen Reports/Pulse Opinion Research,1500,51,49
All polls,01/01/2020,2/18/2017,2/22/2017,YouGov,1500,43,46
All polls,01/01/2020,2/17/2017,2/23/2017,SurveyMonkey,10639,44,54
All polls,01/01/2020,2/18/2017,2/22/2017,Ipsos,1524,46,47.1
All polls,01/01/2020,2/19/2017,2/23/2017,Ipsos,1651,45.8,47.3
All polls,01/01/2020,2/20/2017,2/22/2017,Rasmussen Reports/Pulse Opinion Research,1500,52,47
All polls,01/01/2020,2/20/2017,2/22/2017,Gallup,1500,43,52
All polls,01/01/2020,2/21/2017,2/23/2017,Rasmussen Reports/Pulse Opinion Research,1500,53,47
All polls,01/01/2020,2/21/2017,2/23/2017,Gallup,1500,43,52
All polls,01/01/2020,2/20/2017,2/24/2017,Ipsos,1867,45.1,48
All polls,01/01/2020,2/21/2017,2/22/2017,Public Policy Polling,941,45,48
All polls,01/01/2020,2/21/2017,2/25/2017,Ipsos,1876,45.1,47.9
All polls,01/01/2020,2/22/2017,2/24/2017,Gallup,1500,41,53
All polls,01/01/2020,2/22/2017,2/26/2017,Rasmussen Reports/Pulse Opinion Research,1500,51,49
All polls,01/01/2020,2/23/2017,2/25/2017,Gallup,1500,41,54
All polls,01/01/2020,2/22/2017,2/26/2017,Ipsos,1810,45.6,48.2
All polls,01/01/2020,2/24/2017,2/26/2017,Gallup,1500,42,54
All polls,01/01/2020,2/23/2017,2/27/2017,Rasmussen Reports/Pulse Opinion Research,1500,50,50
All polls,01/01/2020,2/24/2017,2/26/2017,Morning Consult,2000,50,45
All polls,01/01/2020,2/23/2017,2/27/2017,Ipsos,1807,46.1,48.3
All polls,01/01/2020,2/24/2017,2/28/2017,Ipsos,1847,46.1,48.4
All polls,01/01/2020,2/25/2017,2/27/2017,Gallup,1500,42,54
All polls,01/01/2020,2/26/2017,2/28/2017,Gallup,1500,43,52
All polls,01/01/2020,2/24/2017,03/02/2017,SurveyMonkey,12273,45,53
All polls,01/01/2020,2/26/2017,2/28/2017,Rasmussen Reports/Pulse Opinion Research,1500,50,50
All polls,01/01/2020,2/25/2017,03/01/2017,Ipsos,1687,45.7,49.2
All polls,01/01/2020,2/25/2017,03/01/2017,YouGov,1500,41,50
All polls,01/01/2020,2/26/2017,03/02/2017,Ipsos,1699,45.8,48.8
All polls,01/01/2020,2/24/2017,03/04/2017,IBD/TIPP,909,41,53
All polls,01/01/2020,2/27/2017,03/01/2017,Rasmussen Reports/Pulse Opinion Research,1500,52,48
All polls,01/01/2020,2/27/2017,03/01/2017,Gallup,1500,43,51
All polls,01/01/2020,2/28/2017,03/02/2017,Rasmussen Reports/Pulse Opinion Research,1500,53,47
All polls,01/01/2020,2/27/2017,03/03/2017,Ipsos,1713,45.6,48.7
All polls,01/01/2020,2/28/2017,03/02/2017,Gallup,1500,43,51
All polls,01/01/2020,2/28/2017,03/04/2017,Ipsos,1729,45.4,48.2
All polls,01/01/2020,03/01/2017,03/03/2017,Gallup,1500,43,51
All polls,01/01/2020,03/01/2017,03/04/2017,CNN/Opinion Research Corp.,1025,45,52
All polls,01/01/2020,03/01/2017,03/05/2017,SurveyMonkey,4551,48,51
All polls,01/01/2020,03/01/2017,03/05/2017,Ipsos,1673,46.8,46.7
All polls,01/01/2020,03/02/2017,03/04/2017,Gallup,1500,43,50
All polls,01/01/2020,03/01/2017,03/05/2017,Suffolk University,1000,46.9,44
All polls,01/01/2020,03/01/2017,03/05/2017,Rasmussen Reports/Pulse Opinion Research,1500,52,48
All polls,01/01/2020,03/02/2017,03/06/2017,Quinnipiac University,1283,41,52
All polls,01/01/2020,03/03/2017,03/05/2017,Gallup,1500,44,50
All polls,01/01/2020,03/02/2017,03/06/2017,Morning Consult,1992,50,45
All polls,01/01/2020,03/02/2017,03/06/2017,Rasmussen Reports/Pulse Opinion Research,1500,51,49
All polls,01/01/2020,03/02/2017,03/05/2017,Monmouth University,801,43,46
All polls,01/01/2020,03/02/2017,03/06/2017,Ipsos,1679,47.6,46
All polls,01/01/2020,03/03/2017,03/07/2017,Garin-Hart-Yang/Global Strategy Group,1001,45,46
All polls,01/01/2020,03/03/2017,03/07/2017,Ipsos,1662,47.6,46
All polls,01/01/2020,03/03/2017,03/06/2017,Ipsos,1007,40,45
All polls,01/01/2020,03/04/2017,03/06/2017,Gallup,1500,43,51
All polls,01/01/2020,2/28/2017,03/12/2017,Pew Research Center,3844,43,55
All polls,01/01/2020,03/04/2017,03/08/2017,Ipsos,1647,48.3,45.6
All polls,01/01/2020,03/05/2017,03/07/2017,Gallup,1500,42,53
All polls,01/01/2020,03/05/2017,03/07/2017,Rasmussen Reports/Pulse Opinion Research,1500,49,51
All polls,01/01/2020,03/03/2017,03/09/2017,SurveyMonkey,12257,47,52
All polls,01/01/2020,03/05/2017,03/09/2017,Ipsos,1629,49,45.3
All polls,01/01/2020,03/06/2017,03/08/2017,Rasmussen Reports/Pulse Opinion Research,1500,49,51
All polls,01/01/2020,03/03/2017,03/11/2017,Saint Leo University,1073,44,51
All polls,01/01/2020,03/06/2017,03/08/2017,Gallup,1500,41,53
All polls,01/01/2020,03/06/2017,03/07/2017,YouGov,1500,42,49
All polls,01/01/2020,03/07/2017,03/09/2017,Rasmussen Reports/Pulse Opinion Research,1500,48,52
All polls,01/01/2020,03/06/2017,03/10/2017,Ipsos,1674,48.7,46.2
All polls,01/01/2020,03/07/2017,03/09/2017,Gallup,1500,42,52
All polls,01/01/2020,03/07/2017,03/11/2017,Ipsos,1682,47.9,46.9
All polls,01/01/2020,03/06/2017,03/12/2017,Kaiser Family Foundation,1206,36,58
All polls,01/01/2020,03/08/2017,03/10/2017,Gallup,1500,44,49
All polls,01/01/2020,03/08/2017,03/12/2017,Ipsos,1691,47.1,47.8
All polls,01/01/2020,03/09/2017,03/11/2017,Gallup,1500,45,49
All polls,01/01/2020,03/08/2017,03/12/2017,Rasmussen Reports/Pulse Opinion Research,1500,47,53
All polls,01/01/2020,03/09/2017,3/13/2017,Morning Consult,1983,52,43
All polls,01/01/2020,03/09/2017,3/13/2017,Rasmussen Reports/Pulse Opinion Research,1500,46,53
All polls,01/01/2020,03/10/2017,03/12/2017,Public Policy Polling,808,43,50
All polls,01/01/2020,03/10/2017,03/12/2017,Gallup,1500,42,51
All polls,01/01/2020,03/09/2017,3/13/2017,Ipsos,1747,46.9,48.3
All polls,01/01/2020,03/10/2017,3/14/2017,Ipsos,1750,45.3,48.9
All polls,01/01/2020,03/11/2017,3/13/2017,Gallup,1500,39,55
All polls,01/01/2020,03/10/2017,3/16/2017,SurveyMonkey,12133,46,53
All polls,01/01/2020,03/12/2017,3/14/2017,Fox News,1008,43,51
All polls,01/01/2020,03/12/2017,3/14/2017,Rasmussen Reports/Pulse Opinion Research,1500,45,54
All polls,01/01/2020,03/11/2017,3/15/2017,Ipsos,1726,44.5,48.7
All polls,01/01/2020,03/12/2017,3/14/2017,Gallup,1500,40,54
All polls,01/01/2020,3/13/2017,3/15/2017,Gallup,1500,42,53
All polls,01/01/2020,03/12/2017,3/16/2017,Ipsos,1708,44.2,49
All polls,01/01/2020,3/13/2017,3/15/2017,Rasmussen Reports/Pulse Opinion Research,1500,47,53
All polls,01/01/2020,3/13/2017,3/14/2017,YouGov,1500,41,49
All polls,01/01/2020,3/14/2017,3/16/2017,Rasmussen Reports/Pulse Opinion Research,1500,48,52
All polls,01/01/2020,3/13/2017,3/16/2017,icitizen,1309,42,58
All polls,01/01/2020,3/13/2017,3/17/2017,Ipsos,1684,44.4,48.8
All polls,01/01/2020,3/14/2017,3/16/2017,Harris Poll,2092,49,51
All polls,01/01/2020,3/14/2017,3/16/2017,Gallup,1500,41,54
All polls,01/01/2020,3/14/2017,3/18/2017,Ipsos,1588,42.4,50.4
All polls,01/01/2020,3/15/2017,3/17/2017,Gallup,1500,40,55
All polls,01/01/2020,3/16/2017,3/18/2017,Gallup,1500,37,58
All polls,01/01/2020,3/15/2017,3/19/2017,Ipsos,1590,44.8,49.2
All polls,01/01/2020,3/15/2017,3/19/2017,Rasmussen Reports/Pulse Opinion Research,1500,49,51
All polls,01/01/2020,3/16/2017,3/20/2017,Ipsos,1581,45.7,48
All polls,01/01/2020,3/16/2017,3/20/2017,Rasmussen Reports/Pulse Opinion Research,1500,50,50
All polls,01/01/2020,3/17/2017,3/19/2017,Gallup,1500,39,55
All polls,01/01/2020,3/16/2017,3/19/2017,Morning Consult,1927,50,44
All polls,01/01/2020,3/16/2017,3/20/2017,McLaughlin & Associates,1000,49,48
All polls,01/01/2020,3/16/2017,3/21/2017,Quinnipiac University,1056,37,56
All polls,01/01/2020,3/17/2017,3/20/2017,American Research Group,1100,41,54
All polls,01/01/2020,3/18/2017,3/20/2017,Gallup,1500,39,56
All polls,01/01/2020,3/17/2017,3/21/2017,Ipsos,1609,46.3,47.7
All polls,01/01/2020,3/19/2017,3/21/2017,YouGov,1500,41,46
All polls,01/01/2020,3/18/2017,3/22/2017,Ipsos,1619,45.9,48.2
All polls,01/01/2020,3/17/2017,3/23/2017,SurveyMonkey,12306,42,55
All polls,01/01/2020,3/19/2017,3/21/2017,Gallup,1500,40,55
All polls,01/01/2020,3/19/2017,3/21/2017,Rasmussen Reports/Pulse Opinion Research,1500,46,54
All polls,01/01/2020,3/20/2017,3/22/2017,Rasmussen Reports/Pulse Opinion Research,1500,47,53
All polls,01/01/2020,3/19/2017,3/23/2017,Ipsos,1701,48,46.5
All polls,01/01/2020,3/20/2017,3/22/2017,Gallup,1500,39,56
All polls,01/01/2020,3/21/2017,3/23/2017,Rasmussen Reports/Pulse Opinion Research,1500,44,56
All polls,01/01/2020,3/20/2017,3/23/2017,icitizen,1101,37,62
All polls,01/01/2020,3/21/2017,3/23/2017,Gallup,1500,41,54
All polls,01/01/2020,3/20/2017,3/24/2017,Ipsos,1678,46.2,48.1
All polls,01/01/2020,3/22/2017,3/24/2017,Gallup,1500,41,54
All polls,01/01/2020,3/21/2017,3/25/2017,Ipsos,1647,46,48.9
All polls,01/01/2020,3/22/2017,3/26/2017,Ipsos,1668,44.2,49.8
All polls,01/01/2020,3/22/2017,3/26/2017,Rasmussen Reports/Pulse Opinion Research,1500,45,54
All polls,01/01/2020,3/23/2017,3/25/2017,Gallup,1500,40,54
All polls,01/01/2020,3/23/2017,3/27/2017,Ipsos,1679,44.5,48.9
All polls,01/01/2020,3/23/2017,3/27/2017,Rasmussen Reports/Pulse Opinion Research,1500,45,55
All polls,01/01/2020,3/23/2017,3/27/2017,AP-NORC,1110,42,58
All polls,01/01/2020,3/24/2017,3/25/2017,Morning Consult,1991,45,50
All polls,01/01/2020,3/22/2017,3/27/2017,Marist College,1062,37,51
All polls,01/01/2020,3/23/2017,3/27/2017,Garin-Hart-Yang/Global Strategy Group,1001,39,47
All polls,01/01/2020,3/24/2017,3/26/2017,Gallup,1500,36,57
All polls,01/01/2020,3/25/2017,3/27/2017,Gallup,1500,36,56
All polls,01/01/2020,3/24/2017,3/28/2017,Ipsos,1647,43.4,49.2
All polls,01/01/2020,3/24/2017,3/30/2017,SurveyMonkey,11890,44,56
All polls,01/01/2020,3/25/2017,3/29/2017,Ipsos,1692,45,47.1
All polls,01/01/2020,3/24/2017,3/30/2017,IBD/TIPP,904,34,56
All polls,01/01/2020,3/26/2017,3/28/2017,Gallup,1500,35,59
All polls,01/01/2020,3/25/2017,3/28/2017,CBS News,1088,40,52
All polls,01/01/2020,3/26/2017,3/28/2017,Rasmussen Reports/Pulse Opinion Research,1500,44,56
All polls,01/01/2020,3/26/2017,3/28/2017,YouGov,1500,41,47
All polls,01/01/2020,3/27/2017,3/29/2017,icitizen,1062,33,66
All polls,01/01/2020,3/26/2017,3/30/2017,Ipsos,1731,45.5,46.5
All polls,01/01/2020,3/27/2017,3/29/2017,Zogby Analytics,1351,40,53
All polls,01/01/2020,3/27/2017,3/29/2017,Rasmussen Reports/Pulse Opinion Research,1500,44,56
All polls,01/01/2020,3/27/2017,3/28/2017,Public Policy Polling,677,40,53
All polls,01/01/2020,3/27/2017,3/29/2017,Gallup,1500,38,57
All polls,01/01/2020,3/27/2017,3/31/2017,Ipsos,2014,47.2,45.9
All polls,01/01/2020,3/28/2017,3/30/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,57
All polls,01/01/2020,3/28/2017,3/30/2017,Gallup,1500,38,56
All polls,01/01/2020,3/29/2017,3/31/2017,Gallup,1500,40,56
All polls,01/01/2020,3/28/2017,04/01/2017,Ipsos,2105,47.3,46.4
All polls,01/01/2020,3/29/2017,04/02/2017,Rasmussen Reports/Pulse Opinion Research,1500,42,58
All polls,01/01/2020,3/29/2017,04/02/2017,Ipsos,2126,47.4,47.3
All polls,01/01/2020,3/30/2017,04/01/2017,Gallup,1500,38,57
All polls,01/01/2020,3/28/2017,04/03/2017,Kaiser Family Foundation,1203,41,55
All polls,01/01/2020,3/30/2017,04/01/2017,Morning Consult,1995,47,49
All polls,01/01/2020,3/31/2017,04/02/2017,Gallup,1500,38,57
All polls,01/01/2020,3/30/2017,04/03/2017,Quinnipiac University,1171,35,57
All polls,01/01/2020,3/30/2017,04/03/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,57
All polls,01/01/2020,3/30/2017,04/03/2017,Ipsos,2119,46.2,49.5
All polls,01/01/2020,04/01/2017,04/03/2017,Gallup,1500,39,55
All polls,01/01/2020,3/31/2017,04/04/2017,Ipsos,2150,45.5,50.7
All polls,01/01/2020,04/01/2017,04/05/2017,Ipsos,1872,45,51.1
All polls,01/01/2020,3/31/2017,04/06/2017,SurveyMonkey,14518,42,56
All polls,01/01/2020,04/02/2017,04/04/2017,Gallup,1500,42,52
All polls,01/01/2020,04/02/2017,04/04/2017,YouGov,1500,40,48
All polls,01/01/2020,04/02/2017,04/04/2017,Rasmussen Reports/Pulse Opinion Research,1500,46,54
All polls,01/01/2020,04/03/2017,04/05/2017,icitizen,1584,35,65
All polls,01/01/2020,04/02/2017,04/06/2017,Ipsos,1773,44.3,51.6
All polls,01/01/2020,04/03/2017,04/05/2017,Gallup,1500,41,53
All polls,01/01/2020,04/03/2017,04/05/2017,Rasmussen Reports/Pulse Opinion Research,1500,46,54
All polls,01/01/2020,04/03/2017,04/06/2017,CNBC/Hart Research/Public Opinion Strategies,804,39,48
All polls,01/01/2020,04/04/2017,04/06/2017,Gallup,1500,40,54
All polls,01/01/2020,04/04/2017,04/06/2017,Rasmussen Reports/Pulse Opinion Research,1500,45,55
All polls,01/01/2020,04/03/2017,04/07/2017,Ipsos,1738,44.2,50.3
All polls,01/01/2020,04/04/2017,04/08/2017,Ipsos,1716,45.4,49.1
All polls,01/01/2020,04/05/2017,04/07/2017,Gallup,1500,40,54
All polls,01/01/2020,04/05/2017,04/09/2017,Rasmussen Reports/Pulse Opinion Research,1500,44,56
All polls,01/01/2020,04/06/2017,04/08/2017,Gallup,1500,40,54
All polls,01/01/2020,04/05/2017,04/09/2017,Ipsos,1683,46.5,47.8
All polls,01/01/2020,04/06/2017,04/10/2017,Ipsos,1634,48,46.3
All polls,01/01/2020,04/07/2017,04/09/2017,Gallup,1500,40,53
All polls,01/01/2020,04/07/2017,04/09/2017,CBS News,1006,43,49
All polls,01/01/2020,04/06/2017,04/10/2017,Rasmussen Reports/Pulse Opinion Research,1500,47,53
All polls,01/01/2020,04/05/2017,04/11/2017,Pew Research Center,1501,39,54
All polls,01/01/2020,04/06/2017,04/09/2017,Morning Consult,1988,48,47
All polls,01/01/2020,04/08/2017,04/10/2017,Gallup,1500,40,54
All polls,01/01/2020,04/07/2017,04/11/2017,Ipsos,1716,48.5,46.6
All polls,01/01/2020,04/07/2017,4/13/2017,SurveyMonkey,20020,44,53
All polls,01/01/2020,04/09/2017,04/11/2017,Rasmussen Reports/Pulse Opinion Research,1500,47,53
All polls,01/01/2020,04/08/2017,04/12/2017,Ipsos,1800,47.5,47.3
All polls,01/01/2020,04/09/2017,04/11/2017,Gallup,1500,41,52
All polls,01/01/2020,04/10/2017,04/11/2017,YouGov,1500,40,50
All polls,01/01/2020,04/10/2017,04/12/2017,Gallup,1500,40,54
All polls,01/01/2020,04/10/2017,04/12/2017,icitizen,1077,35,64
All polls,01/01/2020,04/10/2017,04/12/2017,Rasmussen Reports/Pulse Opinion Research,1500,48,52
All polls,01/01/2020,04/09/2017,4/13/2017,Ipsos,1843,47,48
All polls,01/01/2020,04/04/2017,4/18/2017,Pew Research Center,3894,39,61
All polls,01/01/2020,04/11/2017,04/12/2017,Marist College,1069,39,48
All polls,01/01/2020,04/11/2017,4/13/2017,Gallup,1500,40,55
All polls,01/01/2020,04/10/2017,4/14/2017,Ipsos,1915,45.9,49.6
All polls,01/01/2020,04/11/2017,4/13/2017,Rasmussen Reports/Pulse Opinion Research,1500,48,52
All polls,01/01/2020,04/11/2017,4/15/2017,Ipsos,1933,44.7,50.7
All polls,01/01/2020,04/12/2017,4/14/2017,Gallup,1500,39,55
All polls,01/01/2020,4/13/2017,4/15/2017,Gallup,1500,41,53
All polls,01/01/2020,4/13/2017,4/15/2017,Morning Consult,1992,48,45
All polls,01/01/2020,04/12/2017,4/16/2017,Ipsos,1849,44.4,50.2
All polls,01/01/2020,04/12/2017,4/16/2017,Rasmussen Reports/Pulse Opinion Research,1500,50,50
All polls,01/01/2020,4/13/2017,4/17/2017,Ipsos,1843,43.2,52.5
All polls,01/01/2020,4/13/2017,4/17/2017,Rasmussen Reports/Pulse Opinion Research,1500,50,50
All polls,01/01/2020,04/12/2017,4/18/2017,Quinnipiac University,1062,40,56
All polls,01/01/2020,4/14/2017,4/17/2017,Harris Poll,2027,48,52
All polls,01/01/2020,4/14/2017,4/18/2017,Ipsos,1856,42.4,53
All polls,01/01/2020,4/14/2017,4/17/2017,Gallup,1500,41,52
All polls,01/01/2020,4/16/2017,4/18/2017,Rasmussen Reports/Pulse Opinion Research,1500,48,52
All polls,01/01/2020,4/15/2017,4/18/2017,Gallup,1500,42,52
